"FACILITYID","BUSINESS_NAME","ADDR","CITY","CATEGORY","SUBCATEGORY"
"A1502042-EED8-416B-91D2-02717F07E5C7","OAKS PRESCHOOL, THE","147 ELGIN ST N","CAMBRIDGE","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"4DFF46E1-FC0D-4AC4-8824-08791F7FFDF9","YMCA CHILD CARE-WILLIAMSBURG","760 COMMONWEALTH CRES","KITCHENER","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"BFA8C5FA-9B7B-4C8C-86B1-0E3387FC62F5","PEEKABOO CHILD CARE MAPLE GROVE","1370 MAPLE GROVE RD","CAMBRIDGE","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"F6DE1A2D-0F8E-4622-8F40-0E85664E81C7","UW - EARLY CHILDHOOD EDUCATIONAL CENTRE","200 UNIVERSITY AVE W","WATERLOO","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"54EA4088-0FC5-4B59-863E-112BD8987F2B","JUMPING JACKS CHILD CARE CENTRE","685 MYERS RD","CAMBRIDGE","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"063AA598-92A5-4CA6-AB9E-112F3B3F52E6","WATERLOO INFANT TODDLER DAY CARE","368 ERB ST W","WATERLOO","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"69E912DD-2285-49F5-991E-1158A474EA00","TENDER LOVING DAY CARE","2 GRAND AVE S","CAMBRIDGE","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"79CF29A9-10CD-4F8D-8FD7-1849E196ADCB","OWL CHILD CARE SERVICES-OUR LADY OF FATIMA","55 HAMMET ST","CAMBRIDGE","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"145C4882-B378-4ED5-A9B2-1A2BC55F4415","ST. MARGARET'S DAY CARE","210 COWAN BLVD","CAMBRIDGE","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"37A3D129-3030-484C-99F3-1B905395104E","PEEKABOO CHILD CARE CENTRE","1151 VICTORIA ST N","KITCHENER","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"2E4D9684-C487-4F93-8AD5-1C5364A8FDAD","DRIFTWOOD PARK CHILD CARE CENTRE","50 PARKLAND CRES","KITCHENER","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"FA9DF48C-EC1C-4496-AFAD-1E7FA12E0D85","YMCA HEAD TO TOE CHILD CARE","455 UNIVERSITY AVE W","KITCHENER","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"0EC33595-6E8A-4C78-BC39-22F10B2A08B0","MORNINGSIDE MONTESSORI SCHOOL","450 KING ST E","CAMBRIDGE","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"7C29E38B-865C-4A46-8D08-264DFC3B65FE","CAMBRIDGE CHRISTIAN SCHOOL PRESCHOOL","229 MYERS RD","CAMBRIDGE","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"2A906862-FAD2-4F9B-A7D6-27F933A0A790","YMCA ELGIN ST. N. CHILD CARE","685 ELGIN ST N","CAMBRIDGE","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"20C2510B-8E0B-4553-A9F2-29ABD031F99E","BRESLAU CHILD CARE","58 JOSEPH ST","BRESLAU","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"C4A5C324-B6F3-481D-9846-2C123EF2304E","YMCA CLEMENS MILL CHILD CARE","335 SAGINAW PKY","CAMBRIDGE","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"1515B9DD-11CC-44F4-963B-2CD693501DAA","YMCA WINSTON PARK CHILD CARE","1000 WESTMOUNT RD E","KITCHENER","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"572F290F-D45B-4B7A-A6AD-2F2CBFFFA0BC","NORTH DUMFRIES PRESCHOOL","92 NORTHUMBERLAND ST","AYR","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"76A0E2F2-C4DF-47F1-964D-36B13D828F28","WOODLAND PARK CHILD CARE","555 ELLIS RD W","CAMBRIDGE","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"B1C2EA38-2368-4B4B-A6A8-38552924EA34","YWCA LINC PRE-SCHOOL","6 CAMBRIDGE ST","CAMBRIDGE","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"A6988BBA-66C7-4DD8-A950-3A9358E5689C","LES PETITES SAUTERELLES","640 TRICO DR","CAMBRIDGE","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"DD385869-3686-4E6B-8291-3DBB5670170F","YWCA - ST. ELIZABETH CCC","50 ADLER DR","CAMBRIDGE","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"9AA991D0-6522-4A41-9093-46F468D1C1FC","WATERLOO CO-OP PRESCHOOL","22 BRIDGEPORT RD W","WATERLOO","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"AA29F49A-1C6E-46A3-8EFC-477076933F81","CENTRE EDUCATIF VILLAGE D'ELISABETH","280 GLENRIDGE DR","WATERLOO","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"F61F3ABE-5514-4574-AB10-4B25767EC6D2","PLUTO DAYCARE-WEBER","1418 WEBER ST E","KITCHENER","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"8F412E83-9FF2-4133-95D5-4D48640CA60C","LACKNER WOODS CHILD CARE","151 ZELLER DR","KITCHENER","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
